OTU,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500_s1_r1,ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100_s1_r1,ARMS_TZS_Angbat_20200608_20201117_MF100_ETOH_s1_r1,ARMS_TZS_Angbat_20200608_20201117_MF500_ETOH_s1_r1,ARMS_TZS_Angbat_20200608_20201117_SF40_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_MF100_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_MF500_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_SF40_ETOH_s1_r1,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,ARMS_Crete_1HERP_20200903_20210122_MF90_s1_r1,ARMS_Crete_1HERP_20200903_20210122_SF_s1_r1,ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G1_20200624_20201103_MF500_s1_r1,ARMS_Getxo_G1_20200624_20201103_SF40_s1_r1,ARMS_Getxo_G2_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G2_20200624_20201103_SF40_s1_r1,ARMS_Getxo_G3_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G3_20200624_20201103_SF40_s1_r1,Classification,TAXON:NCBI_TAX_ID
ASV_25:6f1f21de48bf837ee4e61cc2c63ecae2513d4f36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,0,0,0,0,Eukaryota;Arthropoda;Insecta;Coleopterag;Elateridae;Pectocera;Pectocera,Pectocera:341369
ASV_26:317cf9eb20f0cb291e644516c28271b545074f42,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0,0,0,1,Eukaryota;Arthropoda;Insecta;Archaeognathag;Meinertellidae;Nesomachilis;Nesomachilis,Nesomachilis:299217
ASV_27:39a1431b46ce3b64b976360c899d263328b00b5a,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,27,0,0,0,0,Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosiralesg;Thalassiosiraceae;Thalassiosira;Thalassiosira,Thalassiosira:35127
ASV_28:3f9f1a1b12e1ca4d2cf0712cd0aa596a9fa1d0e2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,Eukaryota;Basidiomycota;Malasseziomycetes;Malassezialesg;Malasseziaceae;Malassezia;Malassezia,Malassezia:55193
ASV_29:5a4a66a86008ee2f3d959b731fa2b0cac264c189,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocidag;Hesionidae;Syllidia;Syllidia,Syllidia:378360
ASV_30:8a6aaec2f0803106613df91ee79911ada3f9cfb4,0,0,0,0,11,5,0,4,0,0,1,0,0,0,0,0,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Leptothecatag;Obeliidae;Obelia;Obelia,Obelia:32569
ASV_31:7b416e148d2058555922b193faaf9dce3d6d5cc7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,Eukaryota;Porifera;Demospongiae;Dendroceratidag;Dictyodendrillidae;Igernella;Igernella,Igernella:479642
ASV_32:c67191ba9616aa5d33cae90de575011a9f52390c,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,21,0,0,0,1,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatidag;Candidae;Tricellaria;Tricellaria,Tricellaria:178315
ASV_33:a2ff91ae83b266521461fb0185281aaa5e963cba,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,1,Eukaryota;Cnidaria;Hydrozoa;Anthoathecatag;Bougainvilliidae;Bougainvillia;Bougainvillia,Bougainvillia:168714
ASV_34:0a92037982d1a6ece064c2f5e0f480ded154bf1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocidag;Syllidae;Myrianida;Myrianida,Myrianida:199196
ASV_35:e1025484213fa24992c9f8301ed64d0ef8c6c71b,0,0,0,0,2,3,0,1,1,3,9,0,0,0,0,0,0,0,0,0,Eukaryota;Chordata;Actinopteri;Gobiiformesg;Gobiidae;Gobiusculus;Gobiusculus,Gobiusculus:257539
ASV_36:7b45460ab85503fa3a1cbb8aae03473646d71d9f,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,2,Eukaryota;Chlorophyta;Trebouxiophyceae;Chlorellalesg;Chlorellaceae;Chlorella;Chlorella,Chlorella:3071
ASV_37:ce205311cc99daa7f97ef53527e1e3bd1b48ceaf,0,0,0,0,0,1,4,2,0,1,15,0,0,0,1,1,0,0,0,0,Eukaryota;Annelida;Polychaeta;Terebellidag;Terebellidae;Nicolea;Nicolea,Nicolea:876015
ASV_38:342bb050428b4fa9f1b9a40531ae67a9335e14a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,Eukaryota;Annelida;Polychaeta;Terebellidag;Terebellidae;Lanassa;Lanassa,Lanassa:2716592
ASV_39:5bf628ac4fba228a03d81385a0527c21a50fa83c,0,0,0,0,9,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Eukaryota;Cnidaria;Anthozoa;Actiniariag;Sagartiidae;Sagartiogeton;Sagartiogeton,Sagartiogeton:478419
ASV_40:f1a5cf8761a898dc5b06e5bccf87b7af70ec690d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Leptothecatag;Campanulariidae;Orthopyxis;Orthopyxis,Orthopyxis:314504
ASV_41:0c6d0563051096db77996996c0a64e2e98945405,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,Eukaryota;Annelida;Polychaeta;Spionidag;Spionidae;Polydora;Polydora,Polydora:46600\n1227177
ASV_42:18a0980a48b7085bd2de3f7ffa89f779df9a6ef1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,1,Eukaryota;Chordata;Lepidosauria;Squamatag;Scincidae;Paracontias;Paracontias,Paracontias:249502
ASV_43:2a7dfb035093f6f867e181fc77c458db0101035a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,0,0,0,4,Eukaryota;Arthropoda;Hexanauplia;Sessiliag;Austrobalanidae;Austrominius;Austrominius,Austrominius:1560685
ASV_44:9dfab3f1aff702f595e861079c3b68c91fa63e5c,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,Eukaryota;Arthropoda;Insecta;Hemipterag;Reduviidae;Triatoma;Triatoma,Triatoma:30075
ASV_45:106518aacceecdceb5b3a07369d496f3176d0c88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,Eukaryota;Basidiomycota;Tremellomycetes;Tremellalesg;Bulleribasidiaceae;Hannaella;Hannaella,Hannaella:663591
ASV_46:cbb59af13dd16cc520501efce935d53615db5888,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,2,0,0,Eukaryota;Mollusca;Gastropoda;Nudibranchiag;Onchidorididae;Onchidoris;Onchidoris,Onchidoris:71369
ASV_47:016408ced6c21b9ca5d8f3e07232a15478abbe5f,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,Eukaryota;Dictyotales;Phaeophyceae,Phaeophyceae:2870
ASV_48:08d0037a4009afd030251986ed6ba94e9fd1da2e,0,1,0,0,0,1,5,2,0,0,6,0,0,2,0,1,1,0,0,3,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatidag;Cribrilinidae;Cribrilina;Cribrilina,Cribrilina:97251
ASV_49:239f9e76eb61bb87c7d8e2288f11b5715a13346e,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,Eukaryota;Annelida;Polychaeta;Phyllodocidag;Nereididae;Platynereis;Platynereis,Platynereis:6358
ASV_50:32483fb4c1cfb650e74ebd74b9272c4b3d160a69,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetalesg;Saccharomycetaceae;Torulaspora;Torulaspora,Torulaspora:4948
ASV_51:33da948d5921884c0aeb393e2b5c64a8041c776f,0,0,0,0,0,0,1,0,0,5,18,0,1,7,0,0,0,0,0,2,Eukaryota;Annelida;Polychaeta;Dinophilidaeg;Dinophilidae;Dinophilus;Dinophilus,Dinophilus:120994
ASV_52:4dc55c32c7341b51c9e9a97d51913de09106cda8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,Eukaryota;Chlorophyta;Chloropicophyceae;Chloropicalesg;Chloropicaceae;Chloroparvula;Chloroparvula,Chloroparvula:2302916
ASV_53:95f26b601020d94e863656ce95785f8317d6bb96,0,0,0,0,0,0,1,0,0,0,14,0,1,0,0,0,0,0,0,1,Eukaryota;Ectocarpales;Phaeophyceae,Phaeophyceae:2870
ASV_54:b9b27b3887c6b5cfd037265bdd42a64d3af37704,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4,Eukaryota;Arthropoda;Malacostraca;Amphipodag;Corophiidae;Monocorophium;Monocorophium,Monocorophium:1582899
ASV_55:d784daa35029be9479579596a6cd6821afdc8245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Sessiliag;Balanidae;Amphibalanus;Amphibalanus,Amphibalanus:637416
ASV_56:10f12e7e78d9e2032c6f0a32ed8b22dc55a985fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,Eukaryota;Porifera;Demospongiae;Suberitidag;Suberitidae;Protosuberites;Protosuberites,Protosuberites:283544
ASV_57:3695b219aa8eff0bc61b1eb1409e9cdf6a9a7bc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Poecilostomatoidag;Lichomolgidae;Herrmannella;Herrmannella,Herrmannella:1795219
ASV_58:5ba847a8f599e84c00d961b9f5877e9ed7deba5d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,Eukaryota;Jakobida;Jakobida;Jakobidag;Histionidae;Histiona;Histiona,Histiona:392299
ASV_59:70e24320d41fbcf7da684cebc8bdf7eb8caf0335,0,0,0,0,0,0,2,0,0,0,0,0,0,9,1,6,0,0,0,1,Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosiralesg;Stephanodiscaceae;Stephanodiscus;Stephanodiscus,Stephanodiscus:29206
ASV_60:43a90ce7e1cbecf3ef22fc713fc4a7324b2631b2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Syndiniales;Dinophyceae,Dinophyceae:2864
ASV_61:4c45102f8028265f43bedc188e75c8cead231f99,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,Eukaryota;Jakobida;Jakobida;Jakobidag;Histionidae;Histiona;Histiona,Histiona:392299
ASV_62:6076a3815e5a8a967f853e95c6b6380d310340cd,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,15,0,0,0,0,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatidag;Cryptosulidae;Cryptosula;Cryptosula,Cryptosula:558754
ASV_63:6cc2219a0f66822b1ada491e96eafd953a0f7269,0,0,0,1,0,2,1,0,0,0,10,0,1,0,0,0,0,0,0,1,Eukaryota;Arthropoda;Hexanauplia;Sessiliag;Balanidae;Balanus;Balanus,Balanus:6677
ASV_64:739f96b932c0a4641a3dc303d24d06ba5b332f7b,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,Eukaryota;Arthropoda;Insecta;Orthopterag;Tetrigidae;Tuberfemurus;Tuberfemurus,Tuberfemurus:1637178
ASV_65:7bb9a2005c9cb37888b0847a0e9636e34c1de988,0,0,1,0,0,0,2,2,0,0,4,0,0,0,0,2,0,0,0,0,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculalesg;Naviculaceae;Navicula;Navicula,Navicula:50949
ASV_66:95388affe2f5790a2ca6ca4cd6947d586990dea8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosiralesg;Skeletonemataceae;Skeletonema;Skeletonema,Skeletonema:2842
ASV_67:9e508277702dc46c690127e0c5dc33864fbf538d,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,Eukaryota;Bacillariophyta;Mediophyceae;Triceratialesg;Plagiogrammaceae;Psammoneis;Psammoneis,Psammoneis:568902
ASV_68:b03b35bcd4057f03b2ea29e0bdca77d728144da2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,Eukaryota;Cnidaria;Hydrozoa;Anthoathecatag;Corynidae;Sarsia;Sarsia,Sarsia:6078
ASV_69:ebf457aecd4584a1fc4480dbb73a1506ef50aee1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,Eukaryota;Gonyaulacales;Dinophyceae,Dinophyceae:2864
ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Eukaryota;Chordata;Mammalia;Carnivorag;Viverridae;Paradoxurus;Paradoxurus,Paradoxurus:71116
ASV_71:14d34e8f4c5db929e0d1836e472ddbfbc2675c84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,Eukaryota;Jakobida;Jakobida;Jakobidag;Histionidae;Histiona;Histiona,Histiona:392299
ASV_72:208d59404e6f72aa20ca9ba1e4fb4ddea5bfbc11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,Eukaryota;Arthropoda;Arachnida;Araneaeg;Araneidae;Larinia;Larinia,Larinia:1660006
ASV_73:32e42eadd3dd51edb2f680a1cc7887a9c7e4c8ca,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillarialesg;Bacillariaceae;Nitzschia;Nitzschia,Nitzschia:2857\n651811
ASV_74:33b0b3be7c5f7c54152c7927f0d8cfeab3fdbceb,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocidag;Hesionidae;Psamathe;Psamathe,Psamathe:378371
ASV_75:462602989fe95b133b4df076722c6038946841e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,Eukaryota;Annelida;Polychaeta;Terebellidag;Terebellidae;Terebella;Terebella,Terebella:547540
ASV_76:9813d305786405d182876bdea17a1c1047f051f3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,Eukaryota;Chordata;Actinopteri;Kurtiformesg;Apogonidae;Brephamia;Brephamia,Brephamia:1431504
ASV_77:b81c45fb8d38b2b3283083a33553cd1745500cb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,Eukaryota;Porifera;Homoscleromorpha;Homosclerophoridag;Oscarellidae;Oscarella;Oscarella,Oscarella:121493
ASV_78:bba021ab83c4810511c40a0d36cf59b4347874b0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,1,Eukaryota;Cnidaria;Anthozoa;Scleractiniag;Caryophylliidae;Solenosmilia;Solenosmilia,Solenosmilia:761946
ASV_79:c1ffa1a77c66c5e3a18b2b6ab37ccfed1c5b3be6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,Eukaryota;Eustigmatales;Eustigmatophyceae,Eustigmatophyceae:5747
ASV_80:c24044d7c94d47ca86c805782e14af603c760d0d,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Insecta;Dipterag;Chironomidae;Compterosmittia;Compterosmittia,Compterosmittia:611343
ASV_81:d20fdc10a055e6d9fcbda4d26038259b7d171747,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Insecta;Hemipterag;Hormaphididae;Parathoracaphis;Parathoracaphis,Parathoracaphis:1350448
ASV_82:dbf4666bac4d3d8dd649c7c3f5f86cc65647f031,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,Eukaryota;Basidiomycota;Agaricomycetes;Polyporalesg;Polyporaceae;Ganoderma;Ganoderma,Ganoderma:5314
ASV_83:e3c4ce8ec19b8a50574e1ccc39c28996c5459fd2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Eukaryota;Laminariales;Phaeophyceae,Phaeophyceae:2870
ASV_84:eef68c04303c85ce5e77382adf6504e17cf0e84d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,Eukaryota;Arthropoda;Insecta;Dipterag;Syrphidae;Graptomyza;Graptomyza,Syrphidae:34680
ASV_85:0737dab89f1dec0b40ba663ff3f0a77f413cf1ea,0,0,0,0,0,0,1,0,0,3,7,0,0,1,0,0,0,0,0,0,Eukaryota;Cnidaria;Hydrozoa;Leptothecatag;Clytiidae;Clytia;Clytia,Clytia:13436
ASV_86:087c8aaa930bc70751ac83f705baa7035749767c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,Eukaryota;Arthropoda;Malacostraca;Decapodag;Pilumnidae;Pilumnus;Pilumnus,Pilumnus:483406
ASV_87:19a616801f3fa9a8641a58474dba7878ae2f3a77,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Spionidag;Spionidae;Polydora;Polydora,Polydora:46600\n1227177
ASV_88:30cb5351f9915ceb44eec778e5427f5670c49e88,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,Eukaryota;Annelida;Polychaeta;Dinophilidaeg;Dinophilidae;Dimorphilus;Dimorphilus,Dimorphilus:2664683
ASV_89:35d4c569970aa32fcca0cb2ab342e6e8db146f2d,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolalesg;Sporidiobolaceae;Rhodotorula;Rhodotorula,Rhodotorula:5533
ASV_90:37be6c93183b08d1f22a14a32b094779443bb3bc,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,Eukaryota;Chordata;Aves;Falconiformesg;Falconidae;Phalcoboenus;Phalcoboenus,Phalcoboenus:56344
ASV_91:4d5a4072553b8223f42cd7e84ae6c17513d4d6a0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Eukaryota;Arthropoda;Insecta;Coleopterag;Rhagophthalmidae;Rhagophthalmus;Rhagophthalmus,Rhagophthalmus:71224
ASV_92:4dd7c7ef5d8180b102f4ef35aed2bc035f07d6ed,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Eukaryota;Dictyotales;Phaeophyceae,Phaeophyceae:2870
ASV_93:55567b6d7ba25851c5e776e37878ed1edc2911f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,Eukaryota;Platyhelminthes;Rhabditophora;Polycladidag;Euplanidae;Euplana;Euplana,Euplana:1859089
ASV_94:5aca529f3dc8bb2f1f02da7b6dbd291d78f14a94,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Eukaryota;Fucales;Phaeophyceae,Phaeophyceae:2870
ASV_95:5c4802645e825cb3b2c453fdf2cdc12f3d0a0de7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Eukaryota;Rhodophyta;Florideophyceae;Rhodogorgonalesg;Rhodogorgonaceae;Renouxia;Renouxia,Renouxia:31493
