"","ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1","ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF500_s1_r1","ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1","ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF500_s1_r1","ARMS_BelgiumCoast_AJJCD78_20200506_20201012_MF100_s1_r1","ARMS_TZS_Angbat_20200608_20201117_MF100_ETOH_s1_r1","ARMS_TZS_Angbat_20200608_20201117_MF500_ETOH_s1_r1","ARMS_TZS_Angbat_20200608_20201117_SF40_ETOH_s1_r1","ARMS_TZS_Kummelkobben_20200608_20201120_MF100_ETOH_s1_r1","ARMS_TZS_Kummelkobben_20200608_20201120_MF500_ETOH_s1_r1","ARMS_TZS_Kummelkobben_20200608_20201120_SF40_ETOH_s1_r1","ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1","ARMS_Crete_1HERP_20200903_20210122_MF90_s1_r1","ARMS_Crete_1HERP_20200903_20210122_SF_s1_r1","ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1","ARMS_Getxo_G1_20200624_20201103_MF500_s1_r1","ARMS_Getxo_G1_20200624_20201103_SF40_s1_r1","ARMS_Getxo_G2_20200624_20201103_MF100_s1_r1","ARMS_Getxo_G2_20200624_20201103_SF40_s1_r1","ARMS_Getxo_G3_20200624_20201103_MF100_s1_r1","ARMS_Getxo_G3_20200624_20201103_SF40_s1_r1","Classification","TAXON.NCBI_TAX_ID"
"Otu315",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Pseudofungi","Stramenopiles:33634"
"Otu316",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae (class);X (Chrysophyceae (class));Chrysophyceae (X (Chrysophyceae (class)))","Chrysophyceae:2825"
"Otu317",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Filosa-Imbricatea (class);X (Filosa-Imbricatea (class));Novel-clade-2;Novel-clade-2 (genus);X (Novel-clade-2 (genus));Novel-clade-2 (X (Novel-clade-2 (genus)));X (Novel-clade-2 (X (Novel-clade-2 (genus))));sp. (X (Novel-clade-2 (X (Novel-clade-2 (genus)))))","Cercozoa:136419"
"Otu417",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Porifera;Porifera (class);X (Porifera (class));Homoscleromorpha;Unknown Homoscleromorpha genus 1","Homoscleromorpha:80999"
"Otu416",0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Gregarinomorphea (class);X (Gregarinomorphea (class));Gregarinomorphea (X (Gregarinomorphea (class)));XX (Gregarinomorphea (X (Gregarinomorphea (class))));Selenidium1;Selenidium1 (strain);sensimae","Apicomplexa:5794"
"Otu415",0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Raphid-pennate","Bacillariophyta:2836"
"Otu414",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Cephaloidophoridae;Unknown Cephaloidophoridae family 1","Cephaloidophoridae:947083"
"Otu413",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Ochrophyta","Ochrophyta:2696291"
"Otu412",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina","Pezizomycotina:147538"
"Otu410",2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Raphid-pennate","Bacillariophyta:2836"
"Otu279",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Rhizaria;Cercozoa","Cercozoa:136419"
"Otu419",0,0,0,0,2,0,0,0,0,0,2,2,0,1,2,0,1,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Cyclopina;Unknown Cyclopina genus 2","Cyclopina:938102"
"Otu418",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Rhizaria;Cercozoa","Cercozoa:136419"
"Otu278",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Craniata;Craniata (class);X (Craniata (class));Teleostei;Clupea;Clupea (species);harengus","Clupea:7949"
"Otu49",0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Unknown Metazoa phylum 1","Metazoa:33208"
"Otu58",0,43,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda","Crustacea:6657"
"Otu59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,"Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Lecudinidae;Lecudinidae (family);X (Lecudinidae (family));Lecudinidae (X (Lecudinidae (family)));X (Lecudinidae (X (Lecudinidae (family))));sp. (X (Lecudinidae (X (Lecudinidae (family)))))","Lecudinidae:158377"
"Otu389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,"Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Gregarinomorphea (class);X (Gregarinomorphea (class));Gregarinomorphea (X (Gregarinomorphea (class)));XX (Gregarinomorphea (X (Gregarinomorphea (class))));Selenidium1;Selenidium1 (strain);boccardiellae","Apicomplexa:5794"
"Otu385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,3,"Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida (class);X (Annelida (class));Annelida (X (Annelida (class)));XX (Annelida (X (Annelida (class))))","Annelida:6340"
"Otu384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;Chromadorea (order);X (Chromadorea (order));Unknown X (Chromadorea (order)) genus 1","Chromadorea:119089"
"Otu271",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Radial-centric-basal-Coscinodiscophyceae;Melosira;Unknown Melosira species 1","Melosira:35124"
"Otu381",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,"Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Uradiphoridae;Uradiphoridae (family);X (Uradiphoridae (family));Uradiphoridae (X (Uradiphoridae (family)));X (Uradiphoridae (X (Uradiphoridae (family))));sp. (X (Uradiphoridae (X (Uradiphoridae (family)))))","Eugregarinorida:35087"
"Otu379",0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Macrostomorpha;Microstomum;Unknown Microstomum genus 1","Microstomum:52056"
"Otu48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,3,"Main genome;Eukaryota;Opisthokonta;Metazoa;Porifera;Porifera (class);X (Porifera (class));Calcarea","Calcarea:27929"
"Otu251",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida (class);X (Annelida (class));Annelida (X (Annelida (class)));XX (Annelida (X (Annelida (class))));Ficopomatus;Ficopomatus (strain);enigmaticus","Ficopomatus:283779"
"Otu250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa","Metazoa:33208"
"Otu252",0,0,0,3,1,0,0,2,3,0,0,0,0,0,0,3,25,0,0,0,18,"Main genome;Eukaryota;Opisthokonta;Metazoa;Urochordata;Urochordata (class);X (Urochordata (class));Ascidiacea","Ascidiacea:7713"
"Otu255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Pseudofungi;Oomycota;Oomycota (class);X (Oomycota (class));Oomycota (X (Oomycota (class)));XX (Oomycota (X (Oomycota (class))));Oomycota (XX (Oomycota (X (Oomycota (class)))));XXX (Oomycota (XX (Oomycota (X (Oomycota (class))))));Oomycota (XXX (Oomycota (XX (Oomycota (X (Oomycota (class)))))));XXX (Oomycota (XXX (Oomycota (XX (Oomycota (X (Oomycota (class))))))));sp. (XXX (Oomycota (XXX (Oomycota (XX (Oomycota (X (Oomycota (class)))))))))","Oomycota:4762"
"Otu254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,"Main genome;Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloroparvula;Chloroparvula (genus)","Chloroparvula:2302916"
"Otu257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,10,"Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Ostreoida;Ostrea;Unknown Ostrea genus 1","Ostrea:37858"
"Otu256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,"Main genome;Eukaryota;Opisthokonta;Metazoa;Gastrotricha;Gastrotricha (class);X (Gastrotricha (class));Gastrotricha (X (Gastrotricha (class)));XX (Gastrotricha (X (Gastrotricha (class))));Aspidiophorus;Aspidiophorus (strain);tentaculatus","Aspidiophorus:233111"
"Otu259",4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes;Davidiella;Davidiella (genus);tassiana","Davidiella:237557"
"Otu258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Urochordata;Urochordata (class);X (Urochordata (class));Ascidiacea;Ciona;Ciona (species);intestinalis (Ciona (species))","Ciona:7718"
"Otu29",0,0,0,0,0,0,0,28,237,0,1,0,0,0,1,0,0,2,0,0,2,"Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Raphid-pennate","Bacillariophyta:2836"
"Otu28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,212,0,214,"Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Ostreoida;Ostrea;Ostrea (genus);edulis (Ostrea (genus))","Ostrea:37858"
"Otu25",4,0,0,0,0,0,0,7,4,0,0,0,0,0,2,0,343,0,1,0,0,"Main genome;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Labyrinthulida;Labyrinthulaceae;Aplanochytrium;Aplanochytrium (genus);sp. (Aplanochytrium (genus))","Aplanochytrium:87110"
"Otu24",0,0,0,0,0,0,0,218,117,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Peritrichia;Sessilida","Sessilida:1974272"
"Otu27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,1,0,1,"Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Lecudinidae;Lecudinidae (family);X (Lecudinidae (family));Lecudinidae (X (Lecudinidae (family)));X (Lecudinidae (X (Lecudinidae (family))));sp. (X (Lecudinidae (X (Lecudinidae (family)))))","Lecudinidae:158377"
"Otu26",0,216,0,0,0,0,0,0,3,0,14,0,0,0,0,0,5,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;Scylla;Scylla (genus);Unknown Scylla (genus) species 1","Scylla:6760"
"Otu20",0,0,0,0,0,0,0,299,314,0,1,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Gastropoda;Heterobranchia","Heterobranchia:216305"
"Otu23",0,0,0,0,0,0,0,67,252,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Alveolata;Ciliophora;Litostomatea;Haptoria;Lacrymariidae;Lacrymariidae (family);X (Lacrymariidae (family));Lacrymariidae (X (Lacrymariidae (family)));X (Lacrymariidae (X (Lacrymariidae (family))));sp. (X (Lacrymariidae (X (Lacrymariidae (family)))))","Lacrymariidae:375590"
"Otu22",0,0,0,0,0,0,0,50,249,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Seriata;Monocelis;Monocelis (genus);Unknown Monocelis (genus) species 1","Monocelis:44226"
"Otu174",0,0,0,0,3,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Fungi;Cryptomycota;Cryptomycotina;Cryptomycotina (order);X (Cryptomycotina (order));Cryptomycotina (X (Cryptomycotina (order)));XX (Cryptomycotina (X (Cryptomycotina (order))));Cryptomycotina (XX (Cryptomycotina (X (Cryptomycotina (order)))));XX (Cryptomycotina (XX (Cryptomycotina (X (Cryptomycotina (order))))));sp. (XX (Cryptomycotina (XX (Cryptomycotina (X (Cryptomycotina (order)))))))","Cryptomycota:1031332"
"Otu175",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,"Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Eugregarinorida (order);EUG3;Eugregarinorida (EUG3);EUG3 (Eugregarinorida (EUG3));X (EUG3 (Eugregarinorida (EUG3)));Eugregarinorida (X (EUG3 (Eugregarinorida (EUG3))));EUG3 (Eugregarinorida (X (EUG3 (Eugregarinorida (EUG3)))));X (EUG3 (Eugregarinorida (X (EUG3 (Eugregarinorida (EUG3))))));sp. (X (EUG3 (Eugregarinorida (X (EUG3 (Eugregarinorida (EUG3)))))))","Eugregarinorida:35087"
"Otu176",6,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,2,0,6,"Main genome;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Polycladida;Stylochus;Stylochus (genus);Unknown Stylochus (genus) species 1","Stylochus:31257"
"Otu177",0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,18,0,1,0,3,"Main genome;Eukaryota;Opisthokonta;Metazoa;Annelida;Annelida (class);X (Annelida (class));Annelida (X (Annelida (class)));XX (Annelida (X (Annelida (class))))","Annelida:6340"
"Otu170",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ventricleftida","Ventricleftida:1938500"
"Otu171",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Raphid-pennate","Bacillariophyta:2836"
"Otu172",0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Raphid-pennate;Raphid-pennate (genus);X (Raphid-pennate (genus));Raphid-pennate (X (Raphid-pennate (genus)));X (Raphid-pennate (X (Raphid-pennate (genus))));sp. (X (Raphid-pennate (X (Raphid-pennate (genus)))))","Bacillariophyta:2836"
"Otu173",0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Granofilosea;Filosa-Granofilosea (class);X (Filosa-Granofilosea (class));Novel-Gran-234;Novel-Gran-234 (genus);X (Novel-Gran-234 (genus));Novel-Gran-234 (X (Novel-Gran-234 (genus)));X (Novel-Gran-234 (X (Novel-Gran-234 (genus))));sp. (X (Novel-Gran-234 (X (Novel-Gran-234 (genus)))))","Cercozoa:136419"
"Otu178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,0,0,"Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ventricleftida;Ventrifissuridae;Ventrifissuridae (family);X (Ventrifissuridae (family));Ventrifissuridae (X (Ventrifissuridae (family)));X (Ventrifissuridae (X (Ventrifissuridae (family))));sp. (X (Ventrifissuridae (X (Ventrifissuridae (family)))))","Ventrifissuridae:1938506"
"Otu179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Polar-centric-Mediophyceae","Bacillariophyta:2836"
"Otu518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Main genome;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Mytiloida","Mytiloida:6546"
"Otu435",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Unknown Maxillopoda family 7","Crustacea:6657"
"Otu434",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Rotifera;Rotifera (class);X (Rotifera (class));Rotifera (X (Rotifera (class)));XX (Rotifera (X (Rotifera (class))));Notholca;Notholca (strain);acuminata (Notholca (strain))","Notholca:231617"
"Otu437",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Pseudofungi;Oomycota;Oomycota (class);X (Oomycota (class))","Oomycota:4762"
"Otu436",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Hacrobia;Centroheliozoa;Centroheliozoa (phylum);X (Centroheliozoa (phylum));Centroheliozoa (X (Centroheliozoa (phylum)));XX (Centroheliozoa (X (Centroheliozoa (phylum))));Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum)))));XXX (Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum))))));Centroheliozoa (XXX (Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum)))))));XXXX (Centroheliozoa (XXX (Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum))))))));Centroheliozoa (XXXX (Centroheliozoa (XXX (Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum)))))))));XXXX (Centroheliozoa (XXXX (Centroheliozoa (XXX (Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum))))))))));sp. (XXXX (Centroheliozoa (XXXX (Centroheliozoa (XXX (Centroheliozoa (XX (Centroheliozoa (X (Centroheliozoa (phylum)))))))))))","Centroheliozoa:193537"
"Otu431",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota","Eukaryota:2759"
"Otu430",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Oblongichytrida;Oblongichytridiaceae;Oblongichytrium;Oblongichytrium (genus);sp. (Oblongichytrium (genus))","Oblongichytrium:420539"
"Otu433",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Opisthokonta;Metazoa;Nematoda;Chromadorea;Chromadorea (order);X (Chromadorea (order));Pellioditis;Unknown Pellioditis species 1","Pellioditis:35555"
"Otu432",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Main genome;Eukaryota;Alveolata;Ciliophora;Litostomatea;Haptoria;Didiniidae;Didiniidae (family);X (Didiniidae (family));Didiniidae (X (Didiniidae (family)));X (Didiniidae (X (Didiniidae (family))));sp. (X (Didiniidae (X (Didiniidae (family)))))","Didiniidae:197898"
"Otu512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Main genome;Eukaryota;Rhizaria;Cercozoa;Filosa-Imbricatea;Marimonadida;Marimonadida (order);X (Marimonadida (order));Marimonadida (X (Marimonadida (order)));XX (Marimonadida (X (Marimonadida (order))));Marimonadida (XX (Marimonadida (X (Marimonadida (order)))));XX (Marimonadida (XX (Marimonadida (X (Marimonadida (order))))));sp. (XX (Marimonadida (XX (Marimonadida (X (Marimonadida (order)))))))","Marimonadida:1736122"
"Otu513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,"Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Raphid-pennate;Sellaphora;Unknown Sellaphora species 1","Sellaphora:216740"
